날짜,momentum,strength,breadth,putcall,volatility,safe_haven,junk_bond,margin_loan_ratio,index_close,fear_greed,regime,highs,lows,strength_raw,up_vol,down_vol,breadth_raw,customer_deposit_raw,margin_loan_raw,margin_loan_ratio_raw,fg_raw_window_mean,fear_greed_1y_rescaled,fg_bucket_1y,fwd_ret_20d_1y,fwd_ret_60d_1y
2025-02-21,62.142857142857146,87.26190476190476,49.12698412698413,54.04761904761905,54.04761904761905,83.73015873015873,58.05555555555556,87.98498122653316,351.92,98.70196440435906,Extreme Greed,10.0,0.0,10.0,87872555.0,73703253.0,0.0876944523774252,54958762565901.0,17811023022913.0,0.3240797680179902,67.04970995490395,72.27734962485242,Greed,0.0037508524664695564,-0.02023187087974543
2025-02-24,59.12698412698413,81.74603174603175,51.19047619047619,51.58730158730159,51.58730158730159,80.07936507936508,58.01587301587302,82.0,349.9,96.13703703703705,Extreme Greed,8.0,0.0,8.0,101172378.0,79876542.0,0.1176247613076068,54029761225021.0,17888934433792.0,0.3310940864478167,64.41666666666666,65.43914996896343,Greed,0.003400971706201794,-0.013203772506430456
2025-02-25,55.95238095238096,87.22222222222223,63.33333333333333,54.04761904761905,54.04761904761905,67.06349206349206,57.97619047619048,85.26841448189762,347.54,96.9390301805283,Extreme Greed,10.0,0.0,10.0,116969759.0,65277937.0,0.2836349821399114,54898669789689.0,17945976814175.0,0.3268927440851324,65.61390895309435,68.54847286830189,Greed,0.021465155090061527,0.013149565517638129
2025-02-26,58.730158730158735,74.72222222222223,40.87301587301587,61.19047619047619,61.19047619047619,79.04761904761905,57.93650793650794,81.04738154613466,349.31,96.0053175262901,Extreme Greed,6.0,0.0,6.0,82291927.0,82800609.0,-0.0030811932042766,54494564943082.0,18083894685598.0,0.3318476751669842,64.34223221707636,65.24583843859531,Greed,0.0027196473046864345,0.005639689673928583
2025-02-27,54.761904761904766,55.75396825396825,36.98412698412699,58.25396825396825,58.25396825396825,69.04761904761905,57.8968253968254,83.68617683686176,346.45,91.23206197658251,Extreme Greed,3.0,0.0,3.0,69787778.0,79311975.0,-0.0638780199723067,55218463533405.0,18192706614876.0,0.3294678165731672,59.32981972365534,52.22824866298952,Neutral,-0.01007360369461685,0.028604416221676976
2025-02-28,41.11111111111111,15.714285714285714,1.4285714285714286,25.95238095238095,25.95238095238095,50.15873015873016,57.85714285714286,86.69154228855722,334.27,71.01512727368448,Greed,0.0,6.0,-6.0,13338502.0,228033120.0,-0.8894774630963038,56052942763366.0,18233130225974.0,0.3252840854930182,38.108268182895046,0.0,Extreme Fear,-0.005594280072994895,0.08618781224758432
2025-03-04,41.19047619047619,13.373015873015872,57.77777777777777,44.76190476190476,44.76190476190476,69.44444444444444,57.81746031746032,90.6832298136646,334.02,83.75891266007208,Extreme Greed,3.0,11.0,-8.0,95590859.0,62048875.0,0.2127762027307151,57232825633150.0,18304523459954.0,0.3198256115691723,52.476276742581085,34.4291127869603,Fear,0.012574097359439707,0.0766421172384888
2025-03-05,44.60317460317461,63.05555555555556,77.93650793650794,46.58730158730159,46.58730158730159,66.42857142857143,57.77777777777777,66.2531017369727,337.08,89.58992135701813,Extreme Greed,7.0,3.0,4.0,143052811.0,49775465.0,0.4837327177057788,53548723770937.0,18353699908853.0,0.3427476626214997,58.653661526645394,50.47221800038112,Neutral,-0.0024326569360388905,0.06707606502907315
2025-03-06,48.73015873015873,69.6031746031746,61.66666666666667,47.38095238095238,47.38095238095238,65.23809523809524,57.738095238095234,64.80793060718712,340.31,89.20622509392027,Extreme Greed,8.0,3.0,5.0,99279508.0,57841929.0,0.2637296335318013,52877238309198.0,18196931691647.0,0.3441354403806229,57.81825323066029,48.302603566903066,Neutral,-0.021715494696012416,0.08695013370162497
2025-03-07,46.82539682539682,75.0,48.80952380952381,49.84126984126984,49.84126984126984,53.095238095238095,57.698412698412696,47.52475247524752,338.42,85.22842928737319,Extreme Greed,8.0,2.0,6.0,88696945.0,74971487.0,0.0838613642977895,51289234160155.0,18206047651999.0,0.3549682101929825,53.57948294829483,37.29421733347032,Fear,-0.0288103539979907,0.11264109686188761
