horizon_trading_days,bucket,count,mean,median,p25,p75,win_rate,mean_pct,median_pct,p25_pct,p75_pct,win_rate_pct
20,Extreme Fear,42,0.0736290879938884,0.0679708884351755,0.0367016853259458,0.1027733097459678,0.8809523809523809,7.36290879938884,6.79708884351755,3.6701685325945803,10.27733097459678,88.09523809523809
20,Extreme Greed,66,0.0935199745655336,0.0987261370377673,0.0247487036532407,0.1519908160566707,0.8787878787878788,9.35199745655336,9.872613703776729,2.4748703653240702,15.19908160566707,87.87878787878788
20,Fear,43,0.0714126711181243,0.0606382351206276,0.0025268005984411,0.1236582909581373,0.7906976744186046,7.14126711181243,6.0638235120627595,0.25268005984411,12.36582909581373,79.06976744186046
20,Greed,40,0.0535660058735547,0.0293314421224616,-0.0037760501224221,0.1185678108812869,0.675,5.35660058735547,2.9331442122461597,-0.37760501224221005,11.85678108812869,67.5
20,Neutral,27,0.0765775010718023,0.1023300836617577,-0.0030892149676292,0.1563650379367263,0.7037037037037037,7.657750107180231,10.23300836617577,-0.30892149676292,15.63650379367263,70.37037037037037
60,Extreme Fear,27,0.2766249602058377,0.3026079547183591,0.2515404498098068,0.3239074943924224,1.0,27.66249602058377,30.260795471835912,25.15404498098068,32.39074943924224,100.0
60,Extreme Greed,66,0.2105683744617218,0.215110409813527,0.1552735386589724,0.2570398683864306,1.0,21.05683744617218,21.5110409813527,15.52735386589724,25.70398683864306,100.0
60,Fear,30,0.2565911890741955,0.2868359191648946,0.144229085833682,0.3231931420714719,1.0,25.659118907419547,28.68359191648946,14.4229085833682,32.31931420714719,100.0
60,Greed,34,0.2504625290820909,0.2989087543592431,0.241065211124673,0.317515934126246,0.9411764705882352,25.046252908209087,29.890875435924308,24.1065211124673,31.7515934126246,94.11764705882352
60,Neutral,21,0.2347921311972486,0.2464219041692594,0.1817183098591548,0.3197269434382837,1.0,23.47921311972486,24.642190416925942,18.17183098591548,31.972694343828366,100.0
